Comment,Designator,Footprint,JLCPCB Part #
7pF,"C1, C2",CAP_0402_N,C307438
470uF,"C3, C16, C18",CAPAE1030X1020D1110L450X95N,C3350
10u,"C4, C6, C14, C17",CAPP_0805_L,C15850
100nF,"C7, C8, C9, C10, C11, C12, C13",CAP_0402_N,C307331
2.2u,C15,CAP_0402_N,C12530
Yellow LED,"D1, D2, D3, D4, D5, D6",DIO_0603_L,C72038
100V 2A 840mV @ 2A,"D8, D9",SOD-123FL,C96515
,J1,C165948,C165948
,J2,RHDRV6W80P254_6X1_1574X250H875_AP1,C2832269
,"J3, J4",RHDRV8W80P254_8X1_2082X250H875_AP1,C225505
,J5,RHDRV10W80P254_10X1_2590X250H875_AP1,C225507
,J6,RHDRV2W80P254_2X1_558X250H875_AP1,C124375
47uH,L1,6mmx6mm Inductor Patern,C36414
68uH,L2,6mmx6mm Inductor Patern,C36414
27.4,"R1, R2",RES_0402_M,C31439
1K,"R3, R4, R5",RES_0402_N,C11702
10K,R6,RES_0402_N,C25756
240,"R7, R8, R9, R10, R11, R12",RES_0402_N,C25153
5.1K,"R14, R15",RES_0402_N,C25905
200,R16,RES_0402_M,C25087
1.02,R17,RES_0402_M,C332612
,"S1, S2",C720477,C720477
,U1,RP2040,C2040
16mb,U3,SOIC8P127_585X970X360L100X38N,C131025
1.25V,U4,SOT23-3P95_240X70L20X40N,C84139
3.3V Fixed Regulator,U5,SOIC8P127_490X600X175L64X43L,C74193
5V Fixed Regulator,U6,SOIC8P127_490X600X175L64X43L,C61063
12Mhz,Y1,7M12000039,C9002
